fecha,temperatura,humedad,presion,velocidad_prom
2022-01-01 00:00:00,12.3695,93.0,747.0463267833333,1.9846666666666666
2022-01-01 01:00:00,12.2195,92.04866666666666,746.3693349,1.2606666666666666
2022-01-01 02:00:00,12.195333333333332,91.54483333333333,746.0229980833334,1.3808333333333331
2022-01-01 03:00:00,12.2005,92.87283333333333,746.0563364000001,1.9233333333333333
2022-01-01 04:00:00,12.199666666666667,93.5035,746.48082595,1.0703333333333334
2022-01-01 05:00:00,12.157499999999999,92.85666666666665,746.47866725,2.2175000000000002
2022-01-01 06:00:00,11.866166666666667,94.35466666666666,746.1779908666666,3.6115
2022-01-01 07:00:00,11.750833333333333,94.72,747.4239990166666,2.1771666666666665
2022-01-01 08:00:00,11.936666666666667,93.88633333333334,748.1184867833333,1.5703333333333334
2022-01-01 09:00:00,12.830666666666668,91.365,747.9368377,2.344666666666667
2022-01-01 10:00:00,14.256166666666667,86.07833333333333,747.7913340166667,1.8506666666666665
2022-01-01 11:00:00,14.877666666666666,83.94483333333332,747.5766652833333,2.4683333333333333
2022-01-01 12:00:00,17.1286665,76.37466666666666,746.8303344833333,1.3433333333333333
2022-01-01 13:00:00,17.151166683333333,77.22066666666666,746.1303334666667,1.9158333333333333
2022-01-01 14:00:00,16.385499816666666,80.74183333333333,745.5441670333333,1.4986666666666666
2022-01-01 15:00:00,16.19816678333333,81.37333333333332,745.2586639666666,1.5498333333333332
2022-01-01 16:00:00,14.823,87.85733333333333,745.6146687666667,2.3928333333333334
2022-01-01 17:00:00,13.821333333333333,92.45016666666668,746.0718313166667,2.8306666666666667
2022-01-01 18:00:00,13.466666666666667,92.74583333333334,746.4756703166667,2.3553333333333333
2022-01-01 19:00:00,13.330000000000002,93.0,747.1318339000001,2.388
2022-01-01 20:00:00,13.204833333333333,93.141,747.8816800666667,3.1653333333333333
2022-01-01 21:00:00,13.0315,93.2355,748.0511678,3.4766666666666666
2022-01-01 22:00:00,12.833333333333334,94.0,748.3698434166668,3.3725
2022-01-01 23:00:00,12.727666666666666,94.0,748.1466524499999,3.5180000000000002
2022-01-02 00:00:00,12.584666666666665,94.0,747.8440012166667,2.8118333333333334
2022-01-02 01:00:00,12.598999999999998,93.4835,747.0716644166666,2.2718333333333334
2022-01-02 02:00:00,12.537333333333333,94.0,746.6436655666668,3.5690000000000004
2022-01-02 03:00:00,12.301166666666667,94.0945,746.4273345833334,3.21
2022-01-02 04:00:00,11.992333333333333,95.0,746.2670033333333,3.068833333333333
2022-01-02 05:00:00,11.844833333333334,94.76383333333334,747.3446635333333,1.1391666666666667
2022-01-02 06:00:00,11.844166666666666,93.99733333333333,747.8204996666667,1.1846666666666665
2022-01-02 07:00:00,11.957666666666666,93.5255,748.4673309833332,1.4261666666666666
2022-01-02 08:00:00,12.144666666666666,91.57466666666666,749.0179982833334,1.59
2022-01-02 09:00:00,14.239666666666666,83.736,748.7531727333334,1.355
2022-01-02 10:00:00,15.963666700000001,80.77316666666667,748.6318278833334,1.6960000000000002
2022-01-02 11:00:00,16.3281666,81.57366666666667,748.3271597166666,1.3663333333333334
2022-01-02 12:00:00,15.670166666666667,85.09133333333332,747.9593302666667,1.6023333333333334
2022-01-02 13:00:00,15.544166683333334,85.09733333333334,747.2404908833333,1.8913333333333333
2022-01-02 14:00:00,15.061,86.61816666666667,746.8950001833333,1.3711666666666666
2022-01-02 15:00:00,15.5605001,84.80116666666666,746.6111634,1.2103333333333335
2022-01-02 16:00:00,13.325666666666667,88.38799999999999,746.8213428333333,3.2464999999999997
2022-01-02 17:00:00,12.203333333333335,87.92800000000001,747.2598347666666,2.0828333333333333
2022-01-02 18:00:00,12.714166666666667,87.96916666666667,747.6628316,1.4135
2022-01-02 19:00:00,12.986333333333333,91.52766666666666,748.3460022,2.4675000000000002
2022-01-02 20:00:00,13.005500000000001,92.45516666666667,748.9625009666667,2.832333333333333
